package_name,category,subcategory,framework,ecosystem
jupyterlab-widgets,Application Development,Component Models,Jupyterlab-widgets,python
faker,Utility Libraries,General Utilities,Faker,python
adal,Security,Authentication & Authorization,Adal,python
confluent-kafka,Application Integration,Message Brokers,Confluent-kafka,python
triton,Utility Libraries,General Utilities,Triton,python
rfc3986-validator,Utility Libraries,General Utilities,Rfc3986-validator,python
types-setuptools,Utility Libraries,General Utilities,Types-setuptools,python
python-daemon,Utility Libraries,General Utilities,Python-daemon,python
pymssql,Data Management,ORM & Data Access,Pymssql,python
notebook-shim,Developer Tooling,Local Development Runtimes,Notebook-shim,python
plotly,Application Development,Web Frameworks,Plotly,python
dbt-core,Application Integration,ETL & Data Pipelines,Dbt-core,python
sagemaker,Application Integration,Service Integration Frameworks,Sagemaker,python
authlib,Security,Authentication & Authorization,Authlib,python
jupyter-events,Developer Tooling,Local Development Runtimes,Jupyter-events,python
dbt-adapters,Developer Tooling,Code Generators,Dbt-adapters,python
progressbar2,Observability,Metrics,Progressbar2,python
coloredlogs,Observability,Logging,Coloredlogs,python
tox,Testing & Quality,Testing Frameworks,Tox,python
loguru,Observability,Logging,Loguru,python
yamllint,Testing & Quality,Static Analysis,Yamllint,python
google-cloud-spanner,Data Management,Relational Databases,Google-cloud-spanner,python
google-cloud-audit-log,Observability,Logging,Google-cloud-audit-log,python
google-cloud-bigquery-storage,Data Management,Data Warehousing,Google-cloud-bigquery-storage,python
hpack,Utility Libraries,General Utilities,Hpack,python
numba,Utility Libraries,General Utilities,Numba,python
hyperframe,Application Integration,RPC & Web Services,Hyperframe,python
microsoft-kiota-authentication-azure,Security,Authentication & Authorization,Microsoft-kiota-authentication-azure,python
deprecation,Utility Libraries,General Utilities,Deprecation,python
h2,Application Integration,RPC & Web Services,H2,python
tensorflow,Application Development,Web Frameworks,Tensorflow,python
python-utils,Utility Libraries,General Utilities,Python-utils,python
django,Application Development,Web Frameworks,Django,python
sshtunnel,Utility Libraries,General Utilities,Sshtunnel,python
trio,Utility Libraries,General Utilities,Trio,python
gcloud-aio-bigquery,Application Integration,Service Integration Frameworks,Gcloud-aio-bigquery,python
jupyter-server-terminals,Developer Tooling,Local Development Runtimes,Jupyter-server-terminals,python
linkify-it-py,Utility Libraries,General Utilities,Linkify-it-py,python
antlr4-python3-runtime,Developer Tooling,Code Generators,Antlr4-python3-runtime,python
langchain-community,Application Development,Web Frameworks,Langchain-community,python
pytest-rerunfailures,Testing & Quality,Testing Frameworks,Pytest-rerunfailures,python
delta-spark,Data Management,Data Lakes,Delta-spark,python
llvmlite,Utility Libraries,General Utilities,Llvm lite,python
click-plugins,Utility Libraries,General Utilities,Click-plugins,python
google-cloud-vision,Application Integration,Service Integration Frameworks,Google-cloud-vision,python
apache-airflow,Application Integration,ETL & Data Pipelines,Apache-airflow,python
mock,Testing & Quality,Mocking & Fakes,Mock,python
google-ads,Application Integration,Service Integration Frameworks,Google-ads,python
sqlalchemy-spanner,Data Management,ORM & Data Access,Sqlalchemy-spanner,python
flit-core,Developer Tooling,Build Tools,Flit-core,python
lockfile,Utility Libraries,General Utilities,Lockfile,python
pydata-google-auth,Application Integration,Service Integration Frameworks,Pydata-google-auth,python
jupyter-lsp,Developer Tooling,Local Development Runtimes,Jupyter-lsp,python
kombu,Application Integration,Messaging Protocols,Kombu,python
graphviz,Utility Libraries,General Utilities,Graphviz,python
nvidia-nvtx-cu12,Utility Libraries,General Utilities,Nvidia-nvtx-cu12,python
twine,Developer Tooling,Build Tools,Twine,python
pathos,Utility Libraries,General Utilities,Pathos,python
types-urllib3,Utility Libraries,General Utilities,Types-urllib3,python
duckdb,Data Management,Data Warehousing,Duckdb,python
google-cloud-bigtable,Application Integration,Service Integration Frameworks,Google-cloud-bigtable,python
limits,Utility Libraries,General Utilities,Limits,python
snowballstemmer,Utility Libraries,General Utilities,Snowballstemmer,python
pipenv,Developer Tooling,Dependency Management,Pipenv,python
great-expectations,Testing & Quality,Testing Frameworks,Great-expectations,python
celery,Application Integration,Message Brokers,Celery,python
entrypoints,Utility Libraries,General Utilities,Entrypoints,python
google-cloud-dlp,Application Integration,Service Integration Frameworks,Google-cloud-dlp,python
pox,Utility Libraries,General Utilities,Pox,python
ppft,Utility Libraries,General Utilities,Ppft,python
semantic-version,Utility Libraries,General Utilities,Semantic-version,python
universal-pathlib,Utility Libraries,General Utilities,Universal-pathlib,python
retrying,Resilience & Control,Retries & Backoff,Retrying,python
requests-mock,Testing & Quality,Testing Frameworks,Requests-mock,python
bs4,Utility Libraries,General Utilities,Bs4,python
readme-renderer,Utility Libraries,General Utilities,Readme-renderer,python
microsoft-kiota-http,Application Integration,RPC & Web Services,Microsoft-kiota-http,python
outcome,Utility Libraries,General Utilities,Outcome,python
moto,Testing & Quality,Mocking & Fakes,Moto,python
tldextract,Utility Libraries,General Utilities,Tldextract,python
aws-requests-auth,Security,Authentication & Authorization,Aws-requests-auth,python
ijson,Serialization,JSON & XML,Ijson,python
psycopg2,Data Management,Relational Databases,Psycopg2,python
fastapi-cli,Developer Tooling,Build Tools,Fastapi-cli,python
vine,Utility Libraries,General Utilities,Vine,python
sphinxcontrib-serializinghtml,Developer Tooling,Documentation,Sphinxcontrib-serializinghtml,python
azure-mgmt-core,Application Integration,Service Integration Frameworks,Azure-mgmt-core,python
amqp,Application Integration,Messaging Protocols,Amqp,python
mdit-py-plugins,Utility Libraries,General Utilities,Mdit-py-plugins,python
langchain-text-splitters,Application Development,Web Frameworks,Langchain-text-splitters,python
billiard,Utility Libraries,General Utilities,Billiard,python
aiosqlite,Data Management,ORM & Data Access,Aiosqlite,python
apache-airflow-providers-cncf-kubernetes,Application Integration,ETL & Data Pipelines,Apache-airflow-providers-cncf-kubernetes,python
dbt-common,Developer Tooling,Code Generators,Dbt-common,python
smdebug-rulesconfig,Utility Libraries,General Utilities,Smdebug-rulesconfig,python
omegaconf,Utility Libraries,Configuration Utilities,Omegaconf,python
gast,Utility Libraries,General Utilities,Gast,python
google-cloud-monitoring,Application Integration,Service Integration Frameworks,Google-cloud-monitoring,python
zeep,Application Integration,RPC & Web Services,Zeep,python
prettytable,Utility Libraries,General Utilities,Prettytable,python
html5lib,Utility Libraries,General Utilities,Html5lib,python
trio-websocket,Application Integration,Messaging Protocols,Trio-websocket,python
humanize,Utility Libraries,General Utilities,Humanize,python
looker-sdk,Application Integration,Service Integration Frameworks,Looker-sdk,python
apache-airflow-providers-google,Application Integration,ETL & Data Pipelines,Apache-airflow-providers-google,python
ipython-pygments-lexers,Developer Tooling,Local Development Runtimes,Ipynb-pygments-lexers,python
botocore-stubs,Utility Libraries,General Utilities,Botocore-stubs,python
flask-wtf,Application Development,Web Frameworks,Flask-wtf,python
gcloud-aio-auth,Application Integration,Service Integration Frameworks,Gcloud-aio-auth,python
pybind11,Developer Tooling,Build Tools,Pybind11,python
docker-pycreds,Utility Libraries,General Utilities,Docker-pycreds,python
pycountry,Utility Libraries,General Utilities,Pycountry,python
google-cloud-kms,Application Integration,Service Integration Frameworks,Google-cloud-kms,python
types-awscrt,Utility Libraries,General Utilities,Types-awscrt,python
boto3-stubs,Utility Libraries,General Utilities,Boto3-stubs,python
spacy,Application Development,Web Frameworks,Spacy,python
opencv-python,Application Development,Web Frameworks,Opencv-python,python
rich-argparse,Utility Libraries,General Utilities,Rich-argparse,python
nh3,Utility Libraries,General Utilities,Nh3,python
yapf,Developer Tooling,Build Tools,Yapf,python
unidecode,Utility Libraries,General Utilities,Unidecode,python
alabaster,Developer Tooling,Documentation,Alabaster,python
gspread,Application Integration,Service Integration Frameworks,Gs spread,python
bitarray,Utility Libraries,General Utilities,Bitarray,python
click-didyoumean,Utility Libraries,General Utilities,Click-didyoumean,python
gremlinpython,Application Integration,Service Integration Frameworks,Gremlinpython,python
freezegun,Testing & Quality,Testing Frameworks,Freezegun,python
wandb,Observability,Metrics,Wandb,python
google-cloud-tasks,Application Integration,Service Integration Frameworks,Google-cloud-tasks,python
brotli,Utility Libraries,General Utilities,Brotli,python
simple-salesforce,Application Integration,Service Integration Frameworks,Simple-salesforce,python
pytest-runner,Developer Tooling,Build Tools,Pytest-runner,python
imagesize,Utility Libraries,General Utilities,Imagesize,python
thinc,Utility Libraries,General Utilities,Thinc,python
types-s3transfer,Utility Libraries,General Utilities,Types-s3transfer,python
torchvision,Utility Libraries,General Utilities,Torchvision,python
blis,Utility Libraries,General Utilities,Blis,python
ecdsa,Security,Transport Security,Ecdsa,python
avro-python3,Serialization,Binary Formats,Avro-python3,python
eventlet,Utility Libraries,General Utilities,Eventlet,python
azure-datalake-store,Application Integration,Service Integration Frameworks,Azure-datalake-store,python
mashumaro,Serialization,JSON & XML,Mashumaro,python
docopt,Utility Libraries,General Utilities,Docopt,python
statsmodels,Utility Libraries,General Utilities,Statsmodels,python
google-cloud-datacatalog,Application Integration,Service Integration Frameworks,Google-cloud-datacatalog,python
click-repl,Utility Libraries,General Utilities,Click-repl,python
pywin32,Utility Libraries,General Utilities,Pywin32,python
mergedeep,Utility Libraries,General Utilities,Mergedeep,python
sphinxcontrib-htmlhelp,Developer Tooling,Documentation,Sphinxcontrib-htmlhelp,python
sphinxcontrib-qthelp,Developer Tooling,Documentation,Sphinxcontrib-qthelp,python
sphinxcontrib-applehelp,Developer Tooling,Documentation,Sphinxcontrib-applehelp,python
sphinxcontrib-devhelp,Developer Tooling,Documentation,Sphinxcontrib-devhelp,python
agate,Utility Libraries,Collections & Data Structures,Agate,python
ujson,Serialization,JSON & XML,Ujson,python
google-cloud-bigquery-datatransfer,Application Integration,Service Integration Frameworks,Google-cloud-bigquery-datatransfer,python
mypy-boto3-s3,Utility Libraries,General Utilities,Mypy-boto3-s3,python
pytimeparse,Utility Libraries,General Utilities,Pytimeparse,python
google-cloud-language,Application Integration,Service Integration Frameworks,Google-cloud-language,python
google-cloud-container,Application Integration,Service Integration Frameworks,Google-cloud-container,python
sphinxcontrib-jsmath,Developer Tooling,Documentation,Sphinxcontrib-jsmath,python
mlflow,Application Development,Web Frameworks,Mlflow,python
google-cloud-translate,Application Integration,Service Integration Frameworks,Google-cloud-translate,python
google-cloud-firestore,Application Integration,Service Integration Frameworks,Google-cloud-firestore,python
tensorboard-data-server,Observability,Monitoring,Tensorboard-data-server,python
hypothesis,Testing & Quality,Testing Frameworks,Hypothesis,python
catalogue,Utility Libraries,General Utilities,Catalogue,python
google-cloud-videointelligence,Application Integration,Service Integration Frameworks,Google-cloud-videointelligence,python
preshed,Utility Libraries,General Utilities,Preshed,python
srsly,Utility Libraries,General Utilities,Srsly,python
flask-login,Application Development,Web Frameworks,Flask-login,python
wasabi,Utility Libraries,General Utilities,Wasabi,python
google-cloud-workflows,Application Integration,Service Integration Frameworks,Google-cloud-workflows,python
google-cloud-compute,Application Integration,Service Integration Frameworks,Google-cloud-compute,python
apache-airflow-providers-snowflake,Application Integration,ETL & Data Pipelines,Apache-airflow-providers-snowflake,python
langcodes,Utility Libraries,General Utilities,Langcodes,python
ninja,Developer Tooling,Build Tools,Ninja,python
google-cloud-speech,Application Integration,Service Integration Frameworks,Google-cloud-speech,python
mlflow-skinny,Application Development,Web Frameworks,Mlflow-skinny,python
google-cloud-automl,Application Integration,Service Integration Frameworks,Google-cloud-automl,python
google-cloud-build,Application Integration,Service Integration Frameworks,Google-cloud-build,python
google-cloud-dataplex,Application Integration,Service Integration Frameworks,Google-cloud-dataplex,python
monotonic,Utility Libraries,General Utilities,Monotonic,python
mysqlclient,Data Management,Relational Databases,Mysqlclient,python
kafka-python,Application Integration,Message Brokers,Kafka-python,python
dacite,Utility Libraries,General Utilities,Dacite,python
cymem,Utility Libraries,General Utilities,Cymem,python
google-cloud-redis,Application Integration,Service Integration Frameworks,Google-cloud-redis,python
astronomer-cosmos,Utility Libraries,General Utilities,Astronomer-cosmos,python
murmurhash,Utility Libraries,General Utilities,Murmurhash,python
jsonpickle,Serialization,JSON & XML,Jsonpickle,python
patsy,Utility Libraries,General Utilities,Patsy,python
zope-event,Utility Libraries,General Utilities,Zope-event,python
cached-property,Utility Libraries,General Utilities,Cached-property,python
google-cloud-memcache,Application Integration,Service Integration Frameworks,Google-cloud-memcache,python
ddtrace,Observability,Tracing,Ddtrace,python
google-cloud-os-login,Application Integration,Service Integration Frameworks,Google-cloud-os-login,python
types-redis,Utility Libraries,General Utilities,Types-redis,python
sqlalchemy-jsonfield,Data Management,ORM & Data Access,Sqlalchemy-jsonfield,python
marshmallow-oneofschema,Serialization,JSON & XML,Marshmallow-oneofschema,python
google-cloud-orchestration-airflow,Application Integration,ETL & Data Pipelines,Google-cloud-orchestration-airflow,python
flask-cors,Application Integration,Messaging Protocols,Flask-cors,python
keras,Application Development,Web Frameworks,Keras,python
spacy-legacy,Utility Libraries,General Utilities,Spacy-legacy,python
flask-limiter,Resilience & Control,Rate Limiting,Flask-limiter,python
httpx-sse,Application Integration,Messaging Protocols,Httpx-sse,python
spacy-loggers,Observability,Logging,Spacy-loggers,python
pip-tools,Developer Tooling,Dependency Management,Pip-tools,python
psycopg,Data Management,Relational Databases,Psycopg,python
langchain-google-vertexai,Application Integration,Service Integration Frameworks,Langchain-google-vertexai,python
google-cloud-dataform,Application Integration,Service Integration Frameworks,Google-cloud-dataform,python
google-cloud-dataproc-metastore,Application Integration,Service Integration Frameworks,Google-cloud-dataproc-metastore,python
opt-einsum,Utility Libraries,General Utilities,Opt-einsum,python
jpype1,Utility Libraries,General Utilities,Jpype1,python
onnxruntime,Utility Libraries,General Utilities,Onnxruntime,python
google-cloud-texttospeech,Application Integration,Service Integration Frameworks,Google-cloud-texttospeech,python
confection,Utility Libraries,General Utilities,Confection,python
pickleshare,Utility Libraries,General Utilities,Pickleshare,python
apache-airflow-providers-mysql,Application Integration,ETL & Data Pipelines,Apache-airflow-providers-mysql,python
asyncpg,Data Management,Relational Databases,Asyncpg,python
msrestazure,Application Integration,Service Integration Frameworks,Msrestazure,python
asynctest,Testing & Quality,Testing Frameworks,Asynctest,python
pytest-timeout,Testing & Quality,Testing Frameworks,Pytest-timeout,python
eval-type-backport,Utility Libraries,General Utilities,Eval-type-backport,python
backcall,Utility Libraries,General Utilities,Backcall,python
tensorflow-estimator,Application Development,Web Frameworks,Tensorflow-estimator,python
apache-airflow-providers-ssh,Application Integration,ETL & Data Pipelines,Apache-airflow-providers-ssh,python
argparse,Utility Libraries,General Utilities,Argparse,python
grpcio-gcp,Application Integration,RPC & Web Services,Grpcio-gcp,python
python-http-client,Application Integration,RPC & Web Services,Python-http-client,python
cron-descriptor,Utility Libraries,General Utilities,Cron-descriptor,python
marisa-trie,Utility Libraries,Collections & Data Structures,Marisa-trie,python
apache-airflow-providers-databricks,Application Integration,ETL & Data Pipelines,Apache-airflow-providers-databricks,python
parsedatetime,Utility Libraries,Date & Time Utilities,Parsedatetime,python
microsoft-kiota-abstractions,Utility Libraries,General Utilities,Microsoft-kiota-abstractions,python
imbalanced-learn,Utility Libraries,Collections & Data Structures,Imbalanced-learn,python
flask-sqlalchemy,Data Management,ORM & Data Access,Flask-sqlalchemy,python
types-deprecated,Utility Libraries,General Utilities,Types-deprecated,python
opentelemetry-instrumentation-asgi,Observability,Tracing,Opentelemetry-instrumentation-asgi,python
rich-click,Utility Libraries,General Utilities,Rich-click,python
pydeequ,Application Integration,ETL & Data Pipelines,Pydeequ,python
elastic-transport,Utility Libraries,General Utilities,Elastic-transport,python
graphene,Application Development,Web Frameworks,Graphene,python
types-paramiko,Utility Libraries,General Utilities,Types-paramiko,python
langchain-openai,Application Integration,Service Integration Frameworks,Langchain-openai,python
dataclasses,Utility Libraries,General Utilities,Dataclasses,python
sendgrid,Application Integration,Service Integration Frameworks,Sendgrid,python
opentelemetry-instrumentation-fastapi,Observability,Tracing,Opentelemetry-instrumentation-fastapi,python
python-jose,Security,Authentication & Authorization,Python-jose,python
makefun,Utility Libraries,General Utilities,Makefun,python
bytecode,Utility Libraries,General Utilities,Bytecode,python
validators,Utility Libraries,General Utilities,Validators,python
language-data,Utility Libraries,General Utilities,Language-data,python
graphql-relay,Application Development,Web Frameworks,Graphql-relay,python
watchtower,Observability,Logging,Watchtower,python
azure-cosmos,Application Integration,Service Integration Frameworks,Azure-cosmos,python
azure-mgmt-resource,Application Integration,Service Integration Frameworks,Azure-mgmt-resource,python
sqlalchemy-utils,Data Management,ORM & Data Access,Sqlalchemy-utils,python
databricks-cli,Developer Tooling,Local Development Runtimes,Databricks-cli,python
envier,Utility Libraries,Configuration Utilities,Envier,python
types-tabulate,Utility Libraries,General Utilities,Types-tabulate,python
fasteners,Utility Libraries,General Utilities,Fasteners,python
types-aiofiles,Utility Libraries,General Utilities,Types-aiofiles,python
flask-session,Application Development,Component Models,Flask-session,python
pydot,Utility Libraries,General Utilities,Pydot,python
google-analytics-admin,Application Integration,Service Integration Frameworks,Google-analytics-admin,python
aioresponses,Testing & Quality,Testing Frameworks,Aioresponses,python
dbt-extractor,Developer Tooling,Code Generators,Dbt-extractor,python
scikit-image,Utility Libraries,Collections & Data Structures,Scikit-image,python
flask-caching,Data Management,Caching,Flask-caching,python
leather,Utility Libraries,General Utilities,Leather,python
pypdf2,Utility Libraries,General Utilities,Pypdf2,python
uc-micro-py,Utility Libraries,General Utilities,Uc-micro-py,python
pytest-metadata,Testing & Quality,Testing Frameworks,Pytest-metadata,python
inflect,Utility Libraries,General Utilities,Inflect,python
polars,Data Management,Data Warehousing,Polars,python
azure-servicebus,Application Integration,Service Integration Frameworks,Azure-servicebus,python
types-docutils,Utility Libraries,General Utilities,Types-docutils,python
cramjam,Utility Libraries,General Utilities,Cramjam,python
aws-xray-sdk,Observability,Tracing,Aws-xray-sdk,python
ml-dtypes,Utility Libraries,General Utilities,Ml-dtypes,python
lark,Utility Libraries,General Utilities,Lark,python
google-cloud-dataflow-client,Application Integration,Service Integration Frameworks,Google-cloud-dataflow-client,python
pyproject-api,Developer Tooling,Build Tools,Pyproject-api,python
jaydebeapi,Application Integration,Service Integration Frameworks,Jaydebeapi,python
impyla,Application Integration,Service Integration Frameworks,Impyla,python
torchaudio,Application Development,Web Frameworks,Torchaudio,python
mypy-boto3-rds,Utility Libraries,General Utilities,Mypy-boto3-rds,python
pandas-stubs,Utility Libraries,General Utilities,Pandas-stubs,python
nvidia-cusparselt-cu12,Utility Libraries,General Utilities,Nvidia-cusparselt-cu12,python
types-markdown,Utility Libraries,General Utilities,Types-markdown,python
pypdf,Utility Libraries,General Utilities,Pypdf,python
wtforms,Application Development,Web Frameworks,Wtforms,python
pyathena,Application Integration,Service Integration Frameworks,Pyathena,python
astunparse,Utility Libraries,General Utilities,Astunparse,python
mmh3,Utility Libraries,General Utilities,Mmh3,python
retryhttp,Resilience & Control,Retries & Backoff,Retryhttp,python
apispec,Application Development,Web Frameworks,Apispec,python
jira,Application Integration,Service Integration Frameworks,Jira,python
google-cloud-run,Application Integration,Service Integration Frameworks,Google-cloud-run,python
texttable,Utility Libraries,General Utilities,Texttable,python
parameterized,Testing & Quality,Testing Frameworks,Parameterized,python
hdfs,Data Management,Data Lakes,Hdfs,python
cfn-lint,Testing & Quality,Static Analysis,Cfn-lint,python
holidays,Utility Libraries,General Utilities,Holidays,python
dbt-semantic-interfaces,Application Integration,ETL & Data Pipelines,Dbt-semantic-interfaces,python
types-croniter,Utility Libraries,General Utilities,Types-croniter,python
google-cloud-storage-transfer,Application Integration,Service Integration Frameworks,Google-cloud-storage-transfer,python
levenshtein,Utility Libraries,General Utilities,Levenshtein,python
azure-kusto-data,Application Integration,Service Integration Frameworks,Azure-kusto-data,python
python-magic,Utility Libraries,General Utilities,Python-magic,python
azure-mgmt-storage,Application Integration,Service Integration Frameworks,Azure-mgmt-storage,python
google-cloud-batch,Application Integration,Service Integration Frameworks,Google-cloud-batch,python
phonenumbers,Utility Libraries,General Utilities,Phonenumbers,python
accelerate,Utility Libraries,General Utilities,Accelerate,python
types-pymysql,Utility Libraries,General Utilities,Types-pymysql,python
azure-storage-queue,Application Integration,Service Integration Frameworks,Azure-storage-queue,python
oracledb,Data Management,ORM & Data Access,Oracledb,python
pysftp,Application Integration,Service Integration Frameworks,Pysftp,python
diskcache,Data Management,Caching,Diskcache,python
flask-appbuilder,Application Development,Web Frameworks,Flask-appbuilder,python
djangorestframework,Application Development,Web Frameworks,Djangorestframework,python
cloudpathlib,Utility Libraries,General Utilities,Cloudpathlib,python
azure-storage-file-share,Application Integration,Service Integration Frameworks,Azure-storage-file-share,python
kubernetes-asyncio,Application Integration,Service Integration Frameworks,Kubernetes-asyncio,python
dateparser,Utility Libraries,General Utilities,Dateparser,python
sphinx-rtd-theme,Developer Tooling,Documentation,Sphinx-rtd-theme,python
configparser,Utility Libraries,Configuration Utilities,Configparser,python
sqlglot,Data Management,ORM & Data Access,Sqlglot,python
python-gitlab,Application Integration,Service Integration Frameworks,Python-gitlab,python
psycopg-binary,Data Management,Relational Databases,Psycopg-binary,python
py-cpuinfo,Utility Libraries,General Utilities,Py-cpuinfo,python
python-gnupg,Security,Transport Security,Python-gnupg,python
dask,Data Management,Batch Processing,Dask,python
pyproj,Utility Libraries,General Utilities,Pyproj,python
diagrams,Utility Libraries,General Utilities,Diagrams,python
cachelib,Data Management,Caching,Cachelib,python
lightgbm,Utility Libraries,General Utilities,Lightgbm,python
markdownify,Utility Libraries,General Utilities,Markdownify,python
pyspnego,Security,Authentication & Authorization,Pyspnego,python
openapi-spec-validator,Utility Libraries,General Utilities,Openapi-spec-validator,python
cmake,Developer Tooling,Build Tools,Cmake,python
astor,Utility Libraries,General Utilities,Astor,python
stevedore,Utility Libraries,General Utilities,Stevedore,python
anthropic,Application Integration,Service Integration Frameworks,Anthropic,python
hyperlink,Utility Libraries,General Utilities,Hyperlink,python
deltalake,Data Management,Data Lakes,Deltalake,python
streamlit,Application Development,Web Frameworks,Streamlit,python
apscheduler,Utility Libraries,General Utilities,Apscheduler,python
libclang,Utility Libraries,General Utilities,Libclang,python
opencv-python-headless,Utility Libraries,General Utilities,Opencv-python-headless,python
statsd,Observability,Metrics,Statsd,python
datetime,Utility Libraries,Date & Time Utilities,Datetime,python
invoke,Developer Tooling,Build Tools,Invoke,python
pyroaring,Utility Libraries,Collections & Data Structures,Pyroaring,python
pyee,Utility Libraries,General Utilities,Pyee,python
pipdeptree,Developer Tooling,Dependency Management,Pipdeptree,python
id,Utility Libraries,General Utilities,Id,python
pdbr,Testing & Quality,Profiling & Debugging,Pdbr,python
parse,Utility Libraries,General Utilities,Parse,python
datadog-api-client,Application Integration,Service Integration Frameworks,Datadog-api-client,python
avro,Serialization,Binary Formats,Avro,python
msgspec,Serialization,Binary Formats,Msgspec,python
azure-nspkg,Utility Libraries,General Utilities,Azure-nspkg,python
apache-airflow-providers-sqlite,Application Integration,ETL & Data Pipelines,Apache-airflow-providers-sqlite,python
tomli-w,Utility Libraries,General Utilities,Tomli-w,python
resolvelib,Utility Libraries,General Utilities,Resolvelib,python
commonmark,Serialization,JSON & XML,Commonmark,python
opencensus,Observability,Metrics,Opencensus,python
pandera,Utility Libraries,General Utilities,Pandera,python
bracex,Utility Libraries,General Utilities,Bracex,python
azure-mgmt-containerregistry,Application Integration,Service Integration Frameworks,Azure-mgmt-containerregistry,python
einops,Utility Libraries,General Utilities,Einops,python
emoji,Utility Libraries,General Utilities,Emoji,python
fastparquet,Data Management,Data Warehousing,Fastparquet,python
apache-airflow-providers-http,Application Integration,ETL & Data Pipelines,Apache-airflow-providers-http,python
office365-rest-python-client,Application Integration,Service Integration Frameworks,Office365-rest-python-client,python
frozendict,Utility Libraries,General Utilities,Frozendict,python
pytest-html,Testing & Quality,Testing Frameworks,Pytest-html,python
opencensus-context,Observability,Tracing,Opencensus-context,python
aws-sam-translator,Developer Tooling,Build Tools,Aws-sam-translator,python
lazy-loader,Utility Libraries,General Utilities,Lazy-loader,python
jupyter,Developer Tooling,Local Development Runtimes,Jupyter,python
jupyter-console,Developer Tooling,Local Development Runtimes,Jupyter-console,python
fuzzywuzzy,Utility Libraries,General Utilities,Fuzzywuzzy,python
cssselect,Utility Libraries,General Utilities,Cssselect,python
filetype,Utility Libraries,General Utilities,Filetype,python
gradio,Application Development,Web Frameworks,Gradio,python
openapi-schema-validator,Utility Libraries,General Utilities,Openapi-schema-validator,python
pytorch-lightning,Application Development,Web Frameworks,Pytorch-lightning,python
pydub,Utility Libraries,General Utilities,Pydub,python
connexion,Application Integration,Service Integration Frameworks,Connexion,python
playwright,Testing & Quality,Testing Frameworks,Playwright,python
analytics-python,Application Integration,Service Integration Frameworks,Analytics-python,python
marshmallow-sqlalchemy,Serialization,JSON & XML,Marshmallow-sqlalchemy,python
cadwyn,Utility Libraries,General Utilities,Cadwyn,python
tensorflow-io-gcs-filesystem,Data Management,Data Lakes,Tensorflow-io-gcs-filesystem,python
sentence-transformers,Utility Libraries,General Utilities,Sentence-transformers,python
pymdown-extensions,Utility Libraries,General Utilities,Pymdown-extensions,python
pywin32-ctypes,Utility Libraries,General Utilities,Pywin32-ctypes,python
crcmod,Utility Libraries,General Utilities,Crcmod,python
flask-jwt-extended,Security,Authentication & Authorization,Flask-jwt-extended,python
pymupdf,Utility Libraries,General Utilities,Pymupdf,python
azure-mgmt-cosmosdb,Application Integration,Service Integration Frameworks,Azure-mgmt-cosmosdb,python
posthog,Observability,Monitoring,Posthog,python
pydeck,Application Development,Web Frameworks,Pydeck,python
azure-mgmt-datafactory,Application Integration,Service Integration Frameworks,Azure-mgmt-datafactory,python
tifffile,Utility Libraries,General Utilities,Tifffile,python
userpath,Utility Libraries,General Utilities,Userpath,python
python-docx,Utility Libraries,General Utilities,Python-docx,python
openlineage-python,Application Integration,Service Integration Frameworks,Openlineage-python,python
llama-parse,Utility Libraries,General Utilities,Llama-parse,python
azure-mgmt-containerinstance,Application Integration,Service Integration Frameworks,Azure-mgmt-containerinstance,python
azure-keyvault-keys,Security,Identity & Access Management,Azure-keyvault-keys,python
pathy,Utility Libraries,General Utilities,Pathy,python
passlib,Security,Authentication & Authorization,Passlib,python
incremental,Utility Libraries,General Utilities,Incremental,python
opentelemetry-instrumentation-wsgi,Observability,Tracing,Opentelemetry-instrumentation-wsgi,python
immutabledict,Utility Libraries,General Utilities,Immutabledict,python
flask-babel,Application Development,Web Frameworks,Flask-babel,python
tree-sitter,Utility Libraries,General Utilities,Tree-sitter,python
nose,Testing & Quality,Testing Frameworks,Nose,python
pemja,Utility Libraries,General Utilities,Pemja,python
apache-flink,Application Integration,ETL & Data Pipelines,Apache-flink,python
configupdater,Utility Libraries,Configuration Utilities,Configupdater,python
junitparser,Utility Libraries,General Utilities,Junitparser,python
apache-flink-libraries,Application Integration,ETL & Data Pipelines,Apache-flink-libraries,python
torchmetrics,Application Development,Reactive Programming,Torchmetrics,python
requests-ntlm,Security,Authentication & Authorization,Requests-ntlm,python
click-option-group,Utility Libraries,General Utilities,Click-option-group,python
ipdb,Testing & Quality,Profiling & Debugging,Ipdb,python
configargparse,Utility Libraries,Configuration Utilities,Configargparse,python
azure-batch,Application Integration,Service Integration Frameworks,Azure-batch,python
tensorflow-serving-api,Application Integration,RPC & Web Services,Tensorflow-serving-api,python
sagemaker-studio,Application Integration,Service Integration Frameworks,Sagemaker-studio,python
django-cors-headers,Application Development,Web Frameworks,Django-cors-headers,python
wcmatch,Utility Libraries,General Utilities,Wcmatch,python
trino,Data Management,Data Warehousing,Trino,python
ratelimit,Resilience & Control,Rate Limiting,Ratelimit,python
ua-parser,Utility Libraries,General Utilities,Ua-parser,python
apache-airflow-providers-fab,Application Integration,ETL & Data Pipelines,Apache-airflow-providers-fab,python
backports-zoneinfo,Utility Libraries,Date & Time Utilities,Backports-zoneinfo,python
pyright,Developer Tooling,Static Analysis,Pyright,python
